Year,US_GDP_Trillions,CHN_GDP_Trillions,US_Population_Millions,CHN_Pop_Millions,US_Annual_CO2_Billion_Tonnes,CHN_Annual_CO2_Billion_Tonnes,US_Carbon_Intensity,CHN_Carbon_Intensity,US_GDP_Growth,CHN_GDP_Growth,US_CO2_Growth,CHN_CO2_Growth,US_Absolute_Decoupling,CHN_Absolute_Decoupling,US_GDP_per_Capita_Thousands,CHN_GDP_per_Capita_Thousands,US_CO2_per_Capita_Tonnes,CHN_CO2_per_Capita_Tonnes,Carbon_Intensity_Gap,US_GDP_per_Ton_CO2,CHN_GDP_per_Ton_CO2
1990,9.74,1.04,253.37,1153.58,5.13,2.48,0.526694045174538,2.3846153846153846,,,,,False,False,38.44180447566799,0.9015412888572966,20.247069503098235,2.1498292272750916,1.8579213394408467,1.898635477582846,0.41935483870967744
1991,9.73,1.14,256.47,1170.79,5.08,2.62,0.5220966084275437,2.298245614035088,-0.0010266940451745254,0.09615384615384603,-0.009746588693957059,0.056451612903225756,False,False,37.93816040862478,0.9737015177785938,19.807384879323116,2.2378052426139616,1.7761490056075444,1.9153543307086616,0.43511450381679384
1992,10.1,1.3,259.61,1184.57,5.18,2.73,0.5128712871287129,2.1,0.03802672147995878,0.14035087719298267,0.019685039370078705,0.041984732824427384,False,False,38.90451061207195,1.0974446423596749,19.95300643272601,2.3046337489553173,1.5871287128712872,1.94980694980695,0.4761904761904762
1993,10.3,1.48,262.63,1197.31,5.28,2.91,0.512621359223301,1.9662162162162162,0.01980198019801982,0.1384615384615384,0.01930501930501949,0.06593406593406592,False,False,39.21867265735065,1.2361042670653382,20.104329284544797,2.4304482548379287,1.4535948569929151,1.9507575757575757,0.5085910652920962
1994,10.8,1.68,265.47,1209.0,5.36,3.09,0.4962962962962963,1.8392857142857142,0.04854368932038833,0.1351351351351351,0.015151515151515138,0.061855670103092786,False,False,40.68256300146909,1.3895781637717122,20.190605341469844,2.555831265508685,1.342989417989418,2.014925373134328,0.5436893203883495
1995,11.1,1.86,268.21,1220.13,5.43,3.35,0.4891891891891892,1.8010752688172043,0.02777777777777768,0.1071428571428572,0.013059701492537101,0.08414239482200658,False,False,41.38548152567018,1.5244277249145581,20.245330151746767,2.7456090744428874,1.3118860796280152,2.044198895027624,0.5552238805970149
1996,11.5,2.05,270.86,1230.94,5.6,3.5,0.4869565217391304,1.707317073170732,0.03603603603603611,0.10215053763440851,0.03130755064456725,0.04477611940298498,False,False,42.45735804474636,1.665393926592685,20.674887395702573,2.843355484426536,1.2203605514316016,2.053571428571429,0.5857142857142856
1997,12.0,2.24,273.47,1241.14,5.67,3.51,0.4725,1.5669642857142854,0.04347826086956519,0.0926829268292686,0.012499999999999956,0.0028571428571428914,False,False,43.88049877500274,1.8047923683065568,20.733535671188793,2.8280451842660774,1.0944642857142854,2.1164021164021163,0.6381766381766383
1998,12.5,2.41,276.12,1250.85,5.74,3.36,0.4592,1.3941908713692945,0.04166666666666674,0.0758928571428572,0.012345679012345734,-0.042735042735042694,False,True,45.270172388816455,1.9266898509013872,20.788063160944517,2.686173402086581,0.9349908713692945,2.177700348432056,0.7172619047619049
1999,13.1,2.6,278.79,1260.18,5.8,3.55,0.44274809160305345,1.3653846153846152,0.04800000000000004,0.07883817427385886,0.010452961672473782,0.05654761904761907,False,False,46.98877291151045,2.063197321017632,20.804189533340505,2.8170578806202284,0.9226365237815617,2.2586206896551726,0.7323943661971831
2000,13.7,2.83,281.48,1269.58,6.02,3.64,0.4394160583941606,1.2862190812720848,0.04580152671755733,0.08846153846153837,0.037931034482758585,0.025352112676056526,False,False,48.671308796362084,2.229083633957687,21.38695466818246,2.8670899037476962,0.8468030228779242,2.2757475083056478,0.7774725274725275
2001,13.8,3.06,284.28,1278.73,5.9,3.72,0.427536231884058,1.215686274509804,0.007299270072992803,0.08127208480565362,-0.019933554817275656,0.0219780219780219,True,False,48.54368932038835,2.392999303996935,20.754186013789223,2.9091364087805873,0.7881500426257461,2.3389830508474576,0.8225806451612903
2002,14.0,3.34,287.08,1286.87,5.95,4.1,0.425,1.2275449101796407,0.014492753623188248,0.0915032679738561,0.008474576271186418,0.10215053763440851,False,False,48.76689424550648,2.5954447613201026,20.725930054340253,3.1860250064109037,0.8025449101796407,2.3529411764705883,0.8146341463414635
2003,14.4,3.68,289.91,1294.52,6.01,4.84,0.41736111111111107,1.3152173913043477,0.028571428571428692,0.10179640718562877,0.010084033613445342,0.18048780487804894,False,False,49.67058742368321,2.8427525260328155,20.730571556690006,3.7388375614127245,0.8978562801932366,2.3960066555740434,0.7603305785123967
2004,15.0,4.05,292.79,1302.1,6.11,5.21,0.4073333333333334,1.2864197530864199,0.04166666666666674,0.1005434782608694,0.016638935108153063,0.07644628099173567,False,False,51.23125789815226,3.1103601873896016,20.868199050514022,4.001228784271562,0.8790864197530865,2.454991816693944,0.7773512476007677
2005,15.5,4.52,295.72,1310.03,6.13,5.88,0.3954838709677419,1.3008849557522124,0.03333333333333344,0.11604938271604937,0.003273322422258529,0.1285988483685221,False,False,52.41444609765995,3.4503026648244695,20.72906803733261,4.488446829461921,0.9054010847844705,2.5285481239804244,0.7687074829931972
2006,15.9,5.09,298.73,1318.05,6.05,6.49,0.380503144654088,1.275049115913556,0.02580645161290329,0.12610619469026552,-0.013050570962479635,0.1037414965986394,True,False,53.22532052354969,3.8617654868935167,20.25240183443243,4.9239406699290615,0.8945459712594679,2.628099173553719,0.7842835130970723
2007,16.2,5.81,301.84,1325.81,6.12,6.97,0.3777777777777778,1.1996557659208262,0.018867924528301883,0.14145383104125742,0.011570247933884392,0.07395993836671799,False,False,53.670818976941426,4.382226714235071,20.275642724622315,5.257163545304381,0.8218779881430485,2.6470588235294117,0.8335724533715925
2008,16.3,6.37,304.97,1333.82,5.92,7.49,0.3631901840490797,1.1758241758241759,0.006172839506172867,0.09638554216867479,-0.0326797385620915,0.0746054519368724,True,False,53.447880119356,4.7757568487502065,19.411745417582058,5.615450360618374,0.8126339917750962,2.7533783783783785,0.8504672897196262
2009,15.8,6.97,308.02,1342.52,5.49,7.88,0.34746835443037977,1.1305595408895266,-0.030674846625766916,0.09419152276295129,-0.07263513513513509,0.05206942590120156,False,False,51.29537043049153,5.191728987277656,17.823517953379653,5.869558740279475,0.7830911864591468,2.877959927140255,0.8845177664974619
2010,16.3,7.71,311.06,1351.56,5.67,8.61,0.3478527607361963,1.1167315175097277,0.03164556962025311,0.10616929698708755,0.032786885245901676,0.0926395939086293,False,False,52.401465955121196,5.704519222232087,18.227994599112712,6.37041640770665,0.7688787567735313,2.874779541446208,0.8954703832752614
2011,16.5,8.44,314.11,1360.25,5.54,9.52,0.33575757575757575,1.127962085308057,0.012269938650306678,0.09468223086900118,-0.022927689594356204,0.10569105691056913,True,False,52.529368692496256,6.204741775408932,17.63713348826844,6.998713471788274,0.7922045095504813,2.9783393501805056,0.8865546218487395
2012,16.9,9.1,317.12,1369.52,5.33,9.77,0.31538461538461543,1.0736263736263736,0.024242424242424176,0.0781990521327014,-0.03790613718411551,0.02626050420168058,True,False,53.29212916246215,6.644663823821484,16.807517658930372,7.133886325135814,0.7582417582417582,3.170731707317073,0.9314227226202662
2013,17.2,9.81,320.11,1379.01,5.47,9.94,0.31802325581395346,1.0132517838939856,0.01775147928994092,0.07802197802197819,0.026266416510318802,0.017400204708290623,False,False,53.73152978663584,7.1137990297387255,17.08787604261035,7.208069557146068,0.6952285280800321,3.1444241316270567,0.9869215291750504
2014,17.7,10.5,323.12,1387.95,5.53,9.98,0.3124293785310735,0.9504761904761905,0.029069767441860517,0.07033639143730874,0.010968921389396868,0.004024144869215318,False,False,54.77841049764793,7.565114017075543,17.114384748700175,7.190460751467992,0.638046811945117,3.2007233273056057,1.0521042084168337
2015,18.2,11.3,326.13,1396.13,5.37,9.86,0.29505494505494506,0.8725663716814158,0.02824858757062154,0.07619047619047636,-0.02893309222423146,-0.012024048096192508,True,True,55.8059669456965,8.093802153094627,16.465826510900563,7.062379577833009,0.5775114266264707,3.3891992551210426,1.1460446247464504
2016,18.5,12.0,329.18,1404.05,5.25,9.75,0.28378378378378377,0.8125,0.016483516483516425,0.06194690265486713,-0.022346368715083775,-0.011156186612576002,True,True,56.20025517953703,8.546704177201667,15.94872106446321,6.944197143976354,0.5287162162162162,3.5238095238095237,1.2307692307692308
2017,19.0,12.9,332.2,1412.35,5.2,10.0,0.2736842105263158,0.7751937984496123,0.027027027027026973,0.07499999999999996,-0.00952380952380949,0.02564102564102555,True,False,57.194461167971106,9.133713314688286,15.653220951234198,7.080397918363013,0.5015095879232965,3.6538461538461537,1.29
2018,19.6,13.7,335.06,1419.01,5.36,10.35,0.27346938775510204,0.7554744525547445,0.03157894736842115,0.06201550387596888,0.030769230769230882,0.03499999999999992,False,False,58.49698561451681,9.654618360688085,15.997134841520921,7.293817520665816,0.4820050647996425,3.656716417910448,1.323671497584541
2019,20.1,14.6,337.79,1423.52,5.24,10.71,0.2606965174129353,0.7335616438356165,0.025510204081632626,0.06569343065693434,-0.022388059701492602,0.034782608695652195,True,False,59.50442582669706,10.256266157131616,15.512596583676247,7.523603461841071,0.4728651264226812,3.83587786259542,1.3632119514472454
